id_mov,data_mov,ano_mes,tipo_padrao,valor,produto_padrao,canal_padrao,cliente_id
M0001,2025-02-16,2025-02,resgate,21552.35,Fundo Multimercado,App,C021
M0002,2025-03-13,2025-03,captacao,20929.45,Tesouro Selic,App,C035
M0003,2025-02-27,2025-02,captacao,62717.41,Fundo DI,Assessor,C013
M0004,2025-03-03,2025-03,resgate,38411.32,Fundo DI,Assessor,C030
M0005,2025-02-12,2025-02,captacao,62445.56,Tesouro Selic,App,C038
M0006,2025-05-28,2025-05,captacao,32335.7,Fundo DI,Assessor,C016
M0007,2025-06-25,2025-06,captacao,63901.95,Fundo DI,Parceiro,C035
M0008,2025-04-05,2025-04,captacao,40970.9,Acoes Brasil,App,C032
M0009,2025-04-03,2025-04,resgate,56877.0,Fundo DI,Assessor,C018
M0010,2025-07-18,2025-07,captacao,37725.03,Renda Fixa Credito,Parceiro,C016
M0011,2025-04-26,2025-04,resgate,60287.63,Fundo DI,App,C022
M0012,2025-03-25,2025-03,captacao,39516.44,Fundo DI,Parceiro,C018
M0013,2025-03-12,2025-03,captacao,41813.55,Renda Fixa Credito,Assessor,C027
M0014,2025-07-14,2025-07,captacao,55558.0,Acoes Brasil,App,C006
M0015,2025-04-14,2025-04,captacao,25190.28,Tesouro Selic,App,C036
M0016,2025-04-19,2025-04,captacao,28793.0,Renda Fixa Credito,Parceiro,C017
M0017,2025-07-04,2025-07,resgate,25928.29,Fundo Multimercado,Assessor,C013
M0018,2025-05-04,2025-05,resgate,58242.22,Fundo Multimercado,Parceiro,C007
M0019,2025-02-28,2025-02,resgate,15175.88,Fundo Multimercado,Assessor,C009
M0020,2025-01-14,2025-01,resgate,56095.97,Tesouro Selic,App,C007
M0021,2025-05-01,2025-05,captacao,35797.04,Fundo DI,Parceiro,C031
M0022,2025-04-13,2025-04,resgate,6852.49,Fundo DI,Assessor,C037
M0023,2025-03-05,2025-03,resgate,45087.0,Tesouro Selic,Assessor,C040
M0024,2025-04-08,2025-04,resgate,72771.85,Fundo Multimercado,App,C020
M0025,2025-01-16,2025-01,resgate,75859.63,Renda Fixa Credito,Assessor,C017
M0026,2025-03-03,2025-03,captacao,44607.39,Fundo DI,App,C029
M0027,2025-03-16,2025-03,resgate,19286.62,Renda Fixa Credito,App,C005
M0028,2025-06-10,2025-06,resgate,34585.98,Fundo Multimercado,Assessor,C018
M0029,2025-01-16,2025-01,resgate,63617.66,Fundo Multimercado,Assessor,C019
M0030,2025-04-30,2025-04,resgate,56278.96,Acoes Brasil,Assessor,C032
M0031,2025-06-03,2025-06,resgate,71264.41,Acoes Brasil,Parceiro,C002
M0032,2025-06-22,2025-06,resgate,79966.22,Fundo DI,App,C012
M0033,2025-06-16,2025-06,resgate,73369.75,Acoes Brasil,App,C032
M0034,2025-03-31,2025-03,resgate,27331.36,Fundo DI,Parceiro,C027
M0035,2025-06-19,2025-06,captacao,65271.72,Acoes Brasil,App,C006
M0036,2025-03-24,2025-03,resgate,77644.0,Tesouro Selic,App,C035
M0037,2025-01-14,2025-01,captacao,41956.71,Acoes Brasil,App,C004
M0038,2025-05-21,2025-05,resgate,74286.0,Fundo Multimercado,App,C008
M0039,2025-07-01,2025-07,resgate,25549.26,Fundo DI,App,C006
M0040,2025-04-29,2025-04,captacao,52169.07,Fundo Multimercado,Parceiro,C033
M0041,2025-05-04,2025-05,resgate,20254.74,Tesouro Selic,App,C013
M0042,2025-07-11,2025-07,captacao,69258.13,Renda Fixa Credito,Parceiro,C033
M0043,2025-03-14,2025-03,resgate,67160.6,Tesouro Selic,App,C010
M0044,2025-05-04,2025-05,captacao,27262.76,Acoes Brasil,App,C021
M0045,2025-03-03,2025-03,captacao,19451.0,Fundo Multimercado,Parceiro,C031
M0046,2025-06-19,2025-06,resgate,40130.96,Acoes Brasil,Assessor,C038
M0047,2025-04-23,2025-04,captacao,42550.0,Tesouro Selic,Assessor,C027
M0048,2025-05-01,2025-05,resgate,27746.0,Fundo Multimercado,App,C022
M0049,2025-03-23,2025-03,resgate,69918.26,Renda Fixa Credito,App,C016
M0050,2025-07-11,2025-07,resgate,35283.75,Tesouro Selic,App,C029
M0051,2025-03-18,2025-03,captacao,4633.29,Fundo Multimercado,Parceiro,C024
M0052,2025-03-04,2025-03,resgate,45708.32,Acoes Brasil,Assessor,C006
M0053,2025-06-08,2025-06,resgate,40315.71,Renda Fixa Credito,Assessor,C030
M0054,2025-03-07,2025-03,captacao,72013.0,Tesouro Selic,Assessor,C011
M0055,2025-03-30,2025-03,resgate,51476.0,Fundo DI,Parceiro,C030
M0056,2025-04-09,2025-04,resgate,9425.0,Tesouro Selic,Parceiro,C037
M0057,2025-03-17,2025-03,captacao,78257.0,Tesouro Selic,App,C037
M0058,2025-03-15,2025-03,resgate,48958.13,Fundo DI,Assessor,C040
M0059,2025-07-13,2025-07,captacao,50631.6,Tesouro Selic,App,C003
M0060,2025-07-07,2025-07,captacao,8120.54,Renda Fixa Credito,App,C012
M0061,2025-05-19,2025-05,resgate,42937.34,Fundo Multimercado,Parceiro,C031
M0062,2025-03-28,2025-03,resgate,37998.18,Tesouro Selic,Assessor,C026
M0063,2025-01-24,2025-01,captacao,2099.57,Renda Fixa Credito,App,C024
M0064,2025-04-08,2025-04,captacao,9559.34,Tesouro Selic,App,C040
M0065,2025-06-06,2025-06,resgate,52164.0,Renda Fixa Credito,Parceiro,C027
M0066,2025-01-12,2025-01,captacao,25044.0,Fundo DI,App,C016
M0067,2025-04-10,2025-04,captacao,30309.91,Renda Fixa Credito,Assessor,C010
M0068,2025-01-26,2025-01,captacao,49636.52,Acoes Brasil,Parceiro,C014
M0069,2025-03-02,2025-03,resgate,8849.02,Acoes Brasil,Parceiro,C004
M0070,2025-02-18,2025-02,captacao,75971.0,Acoes Brasil,Assessor,C039
